# 2025-02-06 18:54:31.750665
# gamma = 5/3
# xi0 = 1.151666417967 (E_error=1.92e-12)
# Pc = 0.3061936398892737
# xi  a  v  p  u/u1  P/P1  T/T1
1.1516664 1.0000000e+00 1.0000000e+00 1.0000000e+00 1.0000000e+00 1.0000000e+00 1.0000000e+00
1.1506664 9.8964950e-01 9.9913226e-01 9.9482075e-01 9.9826471e-01 9.9309388e-01 1.0034804e+00
1.1496664 9.7943589e-01 9.9826567e-01 9.8970218e-01 9.9653207e-01 9.8626770e-01 1.0069753e+00
1.1486664 9.6935700e-01 9.9740025e-01 9.8464352e-01 9.9480210e-01 9.7952037e-01 1.0104846e+00
1.1476664 9.5941069e-01 9.9653601e-01 9.7964403e-01 9.9307481e-01 9.7285079e-01 1.0140087e+00
1.1466664 9.4959488e-01 9.9567297e-01 9.7470297e-01 9.9135022e-01 9.6625792e-01 1.0175475e+00
1.1456664 9.3990749e-01 9.9481116e-01 9.6981960e-01 9.8962835e-01 9.5974071e-01 1.0211013e+00
1.1446664 9.3034651e-01 9.9395057e-01 9.6499323e-01 9.8790920e-01 9.5329813e-01 1.0246700e+00
1.1436664 9.2090996e-01 9.9309125e-01 9.6022314e-01 9.8619278e-01 9.4692918e-01 1.0282538e+00
1.1426664 9.1159588e-01 9.9223320e-01 9.5550864e-01 9.8447913e-01 9.4063284e-01 1.0318529e+00
1.1416664 9.0240237e-01 9.9137643e-01 9.5084905e-01 9.8276824e-01 9.3440816e-01 1.0354673e+00
1.1406664 8.9332754e-01 9.9052098e-01 9.4624369e-01 9.8106014e-01 9.2825416e-01 1.0390972e+00
1.1396664 8.8436956e-01 9.8966684e-01 9.4169192e-01 9.7935483e-01 9.2216989e-01 1.0427427e+00
1.1386664 8.7552660e-01 9.8881405e-01 9.3719306e-01 9.7765233e-01 9.1615443e-01 1.0464039e+00
1.1376664 8.6679688e-01 9.8796262e-01 9.3274650e-01 9.7595266e-01 9.1020684e-01 1.0500809e+00
1.1366664 8.5817867e-01 9.8711257e-01 9.2835158e-01 9.7425582e-01 9.0432624e-01 1.0537738e+00
1.1356664 8.4967024e-01 9.8626391e-01 9.2400769e-01 9.7256183e-01 8.9851172e-01 1.0574829e+00
1.1346664 8.4126990e-01 9.8541665e-01 9.1971423e-01 9.7087070e-01 8.9276242e-01 1.0612081e+00
1.1336664 8.3297600e-01 9.8457083e-01 9.1547057e-01 9.6918245e-01 8.8707747e-01 1.0649496e+00
1.1326664 8.2478691e-01 9.8372645e-01 9.1127614e-01 9.6749709e-01 8.8145601e-01 1.0687076e+00
1.1316664 8.1670102e-01 9.8288353e-01 9.0713035e-01 9.6581464e-01 8.7589722e-01 1.0724821e+00
1.1306664 8.0871678e-01 9.8204208e-01 9.0303261e-01 9.6413509e-01 8.7040026e-01 1.0762733e+00
1.1296664 8.0083263e-01 9.8120214e-01 8.9898237e-01 9.6245847e-01 8.6496434e-01 1.0800813e+00
1.1286664 7.9304706e-01 9.8036370e-01 8.9497905e-01 9.6078479e-01 8.5958865e-01 1.0839062e+00
1.1276664 7.8535858e-01 9.7952679e-01 8.9102212e-01 9.5911407e-01 8.5427240e-01 1.0877482e+00
1.1266664 7.7776572e-01 9.7869142e-01 8.8711103e-01 9.5744630e-01 8.4901482e-01 1.0916074e+00
1.1256664 7.7026704e-01 9.7785761e-01 8.8324524e-01 9.5578151e-01 8.4381515e-01 1.0954839e+00
1.1246664 7.6286114e-01 9.7702537e-01 8.7942423e-01 9.5411971e-01 8.3867264e-01 1.0993779e+00
1.1236664 7.5554661e-01 9.7619473e-01 8.7564748e-01 9.5246091e-01 8.3358655e-01 1.1032894e+00
1.1226664 7.4832210e-01 9.7536570e-01 8.7191447e-01 9.5080511e-01 8.2855615e-01 1.1072186e+00
1.1216664 7.4118625e-01 9.7453829e-01 8.6822471e-01 9.4915234e-01 8.2358072e-01 1.1111657e+00
1.1206664 7.3413776e-01 9.7371252e-01 8.6457769e-01 9.4750260e-01 8.1865956e-01 1.1151307e+00
1.1196664 7.2717533e-01 9.7288840e-01 8.6097294e-01 9.4585590e-01 8.1379197e-01 1.1191138e+00
1.1186664 7.2029768e-01 9.7206596e-01 8.5740995e-01 9.4421225e-01 8.0897726e-01 1.1231152e+00
1.1176664 7.1350355e-01 9.7124520e-01 8.5388827e-01 9.4257167e-01 8.0421477e-01 1.1271349e+00
1.1166664 7.0679172e-01 9.7042614e-01 8.5040742e-01 9.4093417e-01 7.9950383e-01 1.1311732e+00
1.1156664 7.0016097e-01 9.6960880e-01 8.4696694e-01 9.3929975e-01 7.9484377e-01 1.1352300e+00
1.1146664 6.9361012e-01 9.6879319e-01 8.4356638e-01 9.3766842e-01 7.9023396e-01 1.1393057e+00
1.1136664 6.8713799e-01 9.6797933e-01 8.4020529e-01 9.3604021e-01 7.8567377e-01 1.1434003e+00
1.1126664 6.8074344e-01 9.6716723e-01 8.3688322e-01 9.3441510e-01 7.8116255e-01 1.1475139e+00
1.1116664 6.7442533e-01 9.6635690e-01 8.3359975e-01 9.3279313e-01 7.7669970e-01 1.1516467e+00
1.1106664 6.6818255e-01 9.6554837e-01 8.3035443e-01 9.3117428e-01 7.7228462e-01 1.1557988e+00
1.1096664 6.6201401e-01 9.6474164e-01 8.2714686e-01 9.2955858e-01 7.6791669e-01 1.1599705e+00
1.1086664 6.5591863e-01 9.6393674e-01 8.2397661e-01 9.2794604e-01 7.6359533e-01 1.1641617e+00
1.1076664 6.4989535e-01 9.6313366e-01 8.2084327e-01 9.2633665e-01 7.5931996e-01 1.1683727e+00
1.1066664 6.4394314e-01 9.6233244e-01 8.1774644e-01 9.2473044e-01 7.5509000e-01 1.1726035e+00
1.1056664 6.3806097e-01 9.6153308e-01 8.1468572e-01 9.2312741e-01 7.5090489e-01 1.1768545e+00
1.1046664 6.3224784e-01 9.6073559e-01 8.1166071e-01 9.2152756e-01 7.4676408e-01 1.1811256e+00
1.1036664 6.2650275e-01 9.5994000e-01 8.0867102e-01 9.1993091e-01 7.4266701e-01 1.1854170e+00
1.1026664 6.2082474e-01 9.5914631e-01 8.0571628e-01 9.1833747e-01 7.3861314e-01 1.1897289e+00
1.1016664 6.1521285e-01 9.5835454e-01 8.0279611e-01 9.1674724e-01 7.3460195e-01 1.1940614e+00
1.1006664 6.0966613e-01 9.5756469e-01 7.9991013e-01 9.1516023e-01 7.3063289e-01 1.1984148e+00
1.0996664 6.0418367e-01 9.5677680e-01 7.9705797e-01 9.1357644e-01 7.2670547e-01 1.2027890e+00
1.0986664 5.9876455e-01 9.5599085e-01 7.9423929e-01 9.1199590e-01 7.2281916e-01 1.2071843e+00
1.0976664 5.9340787e-01 9.5520688e-01 7.9145371e-01 9.1041859e-01 7.1897347e-01 1.2116008e+00
